method,group_theta,theta,true_score,score,error
CAT-MLE,Rendah,-0.622649361734452,41.03780112947105,39.00031187164509,-2.0374892578259605
RB-Prior,Rendah,-0.622649361734452,41.03780112947105,47.33955019199122,6.301749062520173
RB-NoPrior,Rendah,-0.622649361734452,41.03780112947105,45.78825347758885,4.750452348117804
CAT-EAP,Sedang,0.1946074552372427,58.152545149464295,54.18049093472136,-3.9720542147429327
CAT-MLE,Sedang,0.1946074552372427,58.152545149464295,59.74240782456275,1.589862675098452
RB-Prior,Sedang,0.1946074552372427,58.152545149464295,52.49376558603491,-5.658779563429384
RB-NoPrior,Sedang,0.1946074552372427,58.152545149464295,71.69811320754718,13.545568058082885
CAT-EAP,Rendah,-0.7424705856980482,38.583090576624116,33.61317935520613,-4.969911221417988
CAT-MLE,Rendah,-0.7424705856980482,38.583090576624116,43.58238932293708,4.999298746312967
RB-Prior,Rendah,-0.7424705856980482,38.583090576624116,51.1574074074074,12.574316830783282
RB-NoPrior,Rendah,-0.7424705856980482,38.583090576624116,45.94792812614596,7.3648375495218446
CAT-EAP,Sangat Rendah,-1.3200225112207058,27.47127436744125,39.291893454136826,11.820619086695576
CAT-MLE,Sangat Rendah,-1.3200225112207058,27.47127436744125,29.72204318810046,2.2507688206592107
RB-Prior,Sangat Rendah,-1.3200225112207058,27.47127436744125,44.24137931034482,16.77010494290357
RB-NoPrior,Sangat Rendah,-1.3200225112207058,27.47127436744125,46.199460916442035,18.728186549000785
CAT-EAP,Rendah,-0.6117690909052854,41.262380987295465,49.5984033346576,8.336022347362132
CAT-MLE,Rendah,-0.6117690909052854,41.262380987295465,43.60178454033646,2.339403553040995
RB-Prior,Rendah,-0.6117690909052854,41.262380987295465,48.242055442866814,6.979674455571349
RB-NoPrior,Rendah,-0.6117690909052854,41.262380987295465,52.3809523809524,11.118571393656936
CAT-EAP,Sedang,-0.03703679704841202,53.31798648931453,54.309206966486315,0.9912204771717867
CAT-MLE,Sedang,-0.03703679704841202,53.31798648931453,47.144915039573895,-6.1730714497406325
RB-Prior,Sedang,-0.03703679704841202,53.31798648931453,51.992349378387,-1.3256371109275307
RB-NoPrior,Sedang,-0.03703679704841202,53.31798648931453,66.57243816254415,13.254451673229617
