method,student_id,theta,group_theta,true_score,estimated_score,items,error
RB-NoPrior,829,-0.45730165508679,Rendah,44.47463256756847,78.6838340486409,20,34.209201481072434
CAT-EAP,830,-0.04282338131157488,Sedang,53.1963676434306,56.64276202985976,20,3.446394386429162
CAT-MLE,830,-0.04282338131157488,Sedang,53.1963676434306,50.52862595267905,20,-2.667741690751548
RB-Prior,830,-0.04282338131157488,Sedang,53.1963676434306,52.93927648578811,40,-0.2570911576424848
RB-NoPrior,830,-0.04282338131157488,Sedang,53.1963676434306,48.590323703445875,40,-4.606043939984723
CAT-EAP,831,0.058022734808395225,Sedang,55.31108103333432,61.76270009123741,20,6.451619057903095
CAT-MLE,831,0.058022734808395225,Sedang,55.31108103333432,68.2646980948073,20,12.953617061472983
RB-Prior,831,0.058022734808395225,Sedang,55.31108103333432,58.7700696758558,40,3.458988642521483
RB-NoPrior,831,0.058022734808395225,Sedang,55.31108103333432,50.555170020818885,40,-4.755911012515433
CAT-EAP,832,0.8484308822052846,Sangat Tinggi,71.00455210082117,67.42894278536924,20,-3.5756093154519277
CAT-MLE,832,0.8484308822052846,Sangat Tinggi,71.00455210082117,68.85670804309761,21,-2.1478440577235602
RB-Prior,832,0.8484308822052846,Sangat Tinggi,71.00455210082117,56.42540620384049,40,-14.579145896980684
RB-NoPrior,832,0.8484308822052846,Sangat Tinggi,71.00455210082117,60.29986962190354,40,-10.704682478917633
CAT-EAP,833,-2.246889333984605,Sangat Rendah,13.735853885987693,9.041612207797428,29,-4.694241678190265
CAT-MLE,833,-2.246889333984605,Sangat Rendah,13.735853885987693,11.395445705527868,31,-2.340408180459825
RB-Prior,833,-2.246889333984605,Sangat Rendah,13.735853885987693,32.18291630716133,36,18.447062421173634
RB-NoPrior,833,-2.246889333984605,Sangat Rendah,13.735853885987693,30.697674418604652,20,16.96182053261696
CAT-EAP,834,-0.6067002947652967,Rendah,41.367092179644764,40.475083409705135,20,-0.8920087699396291
CAT-MLE,834,-0.6067002947652967,Rendah,41.367092179644764,35.06591405217737,20,-6.301178127467395
RB-Prior,834,-0.6067002947652967,Rendah,41.367092179644764,46.56463692608272,40,5.197544746437956
RB-NoPrior,834,-0.6067002947652967,Rendah,41.367092179644764,50.8977647489923,40,9.530672569347537
CAT-EAP,835,0.21128369227947272,Sedang,58.49713122731697,60.168742972565894,20,1.6716117452489243
CAT-MLE,835,0.21128369227947272,Sedang,58.49713122731697,63.960378021572254,20,5.463246794255284
RB-Prior,835,0.21128369227947272,Sedang,58.49713122731697,51.880674448767834,40,-6.616456778549136
RB-NoPrior,835,0.21128369227947272,Sedang,58.49713122731697,55.85250338294993,40,-2.6446278443670366
CAT-EAP,836,1.2000789564268612,Sangat Tinggi,77.08230020061393,77.48243317397205,21,0.4001329733581258
CAT-MLE,836,1.2000789564268612,Sangat Tinggi,77.08230020061393,76.73534403091642,23,-0.3469561696975063
RB-Prior,836,1.2000789564268612,Sangat Tinggi,77.08230020061393,64.1886028348279,40,-12.893697365786025
RB-NoPrior,836,1.2000789564268612,Sangat Tinggi,77.08230020061393,83.27759197324416,20,6.1952917726302275
CAT-EAP,837,-0.49190244750620515,Rendah,43.75167772209439,45.94939732770612,20,2.1977196056117307
CAT-MLE,837,-0.49190244750620515,Rendah,43.75167772209439,40.697644202410736,20,-3.0540335196836566
RB-Prior,837,-0.49190244750620515,Rendah,43.75167772209439,54.8740053050398,40,11.12232758294541
RB-NoPrior,837,-0.49190244750620515,Rendah,43.75167772209439,52.04900718208703,35,8.297329459992639
CAT-EAP,838,-1.876552706041874,Sangat Rendah,18.49802091538058,21.29967525173948,20,2.801654336358901
CAT-MLE,838,-1.876552706041874,Sangat Rendah,18.49802091538058,20.34634110376759,21,1.8483201883870102
